Liczba sygnalów: 2
Program tworzacy: JazzRecorder 2.5 - [Wykres ciagly]
Plik zródlowy: C:/Documents and Settings/admin/Desktop/projekt_ib_eyetracker/filip kalib 3.jazz
Data tworzenia: 30/04/2019
Czas tworzenia: 08:42:28.117
Informacje o danych: 
Numer sygnalu 1	eye movement - horizontal	1000	1000	signed int	2	NoCalib
Numer sygnalu 2	eye movement - vertical	1000	1000	signed int	2	NoCalib
no	Eye_X	Eye_Y
371	1714	1912
372	1714	1912
373	1714	1911
374	1713	1911
375	1713	1912
376	1713	1911
377	1713	1911
378	1712	1911
379	1712	1910
380	1712	1910
381	1713	1910
382	1713	1910
383	1713	1909
384	1713	1910
385	1713	1910
386	1713	1910
387	1713	1910
388	1713	1910
389	1713	1910
390	1712	1911
391	1712	1912
392	1712	1912
393	1712	1912
394	1713	1912
395	1713	1913
396	1713	1914
397	1713	1914
398	1713	1914
399	1713	1913
400	1714	1913
401	1714	1913
402	1714	1913
403	1713	1913
404	1713	1913
405	1713	1913
406	1714	1913
407	1714	1913
408	1714	1912
409	1714	1913
410	1714	1912
411	1713	1912
412	1713	1912
413	1713	1912
414	1713	1911
415	1712	1912
416	1711	1913
417	1711	1912
418	1711	1912
419	1711	1912
420	1711	1913
421	1711	1913
422	1711	1912
423	1712	1911
424	1712	1911
425	1712	1910
426	1713	1909
427	1713	1909
428	1713	1909
429	1712	1909
430	1712	1909
431	1712	1910
432	1711	1911
433	1711	1912
434	1710	1912
435	1710	1912
436	1710	1913
437	1710	1912
438	1710	1913
439	1710	1912
440	1711	1912
441	1710	1910
442	1711	1910
443	1711	1909
444	1711	1908
445	1711	1908
446	1710	1907
447	1710	1907
448	1710	1906
449	1710	1907
450	1710	1907
451	1710	1908
452	1711	1908
453	1711	1908
454	1711	1909
455	1711	1910
456	1711	1910
457	1711	1910
458	1711	1910
459	1711	1910
460	1711	1911
461	1711	1911
462	1712	1911
463	1712	1911
464	1712	1911
465	1711	1912
466	1711	1912
467	1711	1912
468	1710	1912
469	1710	1912
470	1710	1911
471	1709	1911
472	1709	1911
473	1709	1911
474	1709	1912
475	1709	1912
476	1710	1913
477	1710	1912
478	1710	1912
479	1710	1911
480	1711	1911
481	1710	1911
482	1709	1911
483	1710	1911
484	1710	1910
485	1710	1911
486	1709	1911
487	1709	1911
488	1709	1912
489	1711	1912
490	1711	1912
491	1711	1912
492	1711	1913
493	1712	1913
494	1713	1912
495	1712	1912
496	1712	1912
497	1713	1913
498	1712	1912
499	1712	1912
500	1712	1912
501	1711	1912
502	1711	1913
503	1711	1913
504	1711	1912
505	1710	1912
506	1711	1912
507	1711	1912
508	1711	1913
509	1711	1913
510	1711	1913
511	1711	1913
512	1711	1913
513	1711	1912
514	1711	1912
515	1711	1912
516	1711	1912
517	1711	1911
518	1711	1910
519	1711	1910
520	1711	1910
521	1711	1910
522	1712	1910
523	1712	1910
524	1712	1909
525	1712	1910
526	1713	1910
527	1713	1910
528	1712	1909
529	1712	1909
530	1712	1910
531	1712	1909
532	1712	1909
533	1712	1910
534	1712	1910
535	1712	1910
536	1712	1910
537	1712	1911
538	1712	1911
539	1713	1911
540	1712	1912
541	1712	1912
542	1712	1912
543	1712	1912
544	1712	1912
545	1712	1912
546	1712	1911
547	1713	1911
548	1713	1911
549	1713	1911
550	1712	1911
551	1712	1911
552	1712	1911
553	1712	1912
554	1712	1912
555	1712	1912
556	1711	1914
557	1711	1914
558	1711	1914
559	1712	1913
560	1711	1913
561	1710	1913
562	1710	1914
563	1710	1914
564	1711	1914
565	1711	1913
566	1711	1914
567	1710	1915
568	1711	1916
569	1711	1916
570	1711	1915
571	1711	1916
572	1711	1916
573	1711	1917
574	1712	1916
575	1711	1916
576	1711	1916
577	1711	1916
578	1711	1916
579	1711	1916
580	1710	1916
581	1710	1916
582	1710	1917
583	1710	1918
584	1710	1918
585	1709	1918
586	1709	1918
587	1707	1918
588	1708	1918
589	1708	1917
590	1707	1917
591	1708	1916
592	1707	1917
593	1708	1916
594	1708	1916
595	1708	1917
596	1708	1917
597	1707	1918
598	1707	1918
599	1706	1919
600	1706	1918
601	1705	1919
602	1705	1920
603	1705	1920
604	1705	1919
605	1705	1919
606	1706	1919
607	1706	1919
608	1706	1920
609	1706	1920
610	1706	1920
611	1706	1921
612	1707	1922
613	1706	1923
614	1706	1922
615	1706	1922
616	1706	1922
617	1705	1922
618	1705	1922
619	1705	1921
620	1705	1922
621	1706	1922
622	1706	1922
623	1706	1923
624	1706	1922
625	1706	1922
626	1706	1922
627	1705	1922
628	1704	1922
629	1704	1922
630	1704	1922
631	1704	1922
632	1704	1923
633	1703	1922
634	1702	1922
635	1703	1923
636	1703	1923
637	1703	1924
638	1703	1924
639	1702	1924
640	1702	1924
641	1703	1926
642	1704	1926
643	1703	1926
644	1704	1926
645	1703	1925
646	1703	1925
647	1703	1924
648	1703	1924
649	1703	1925
650	1703	1924
651	1703	1925
652	1702	1925
653	1702	1925
654	1701	1925
655	1701	1926
656	1701	1926
657	1700	1926
658	1700	1926
659	1700	1926
660	1701	1926
661	1701	1927
662	1701	1927
663	1701	1927
664	1701	1927
665	1701	1927
666	1700	1927
667	1700	1927
668	1700	1927
669	1700	1926
670	1700	1926
671	1701	1926
672	1701	1926
673	1701	1925
674	1701	1924
675	1700	1925
676	1701	1926
677	1701	1925
678	1701	1926
679	1701	1927
680	1701	1927
681	1700	1928
682	1701	1928
683	1701	1927
684	1700	1926
685	1700	1926
686	1700	1926
687	1700	1926
688	1700	1926
689	1700	1925
690	1700	1925
691	1700	1925
692	1701	1925
693	1701	1925
694	1701	1925
695	1701	1925
696	1700	1926
697	1700	1925
698	1700	1925
699	1701	1925
700	1701	1925
701	1701	1926
702	1702	1926
703	1702	1925
704	1701	1924
705	1702	1925
706	1702	1925
707	1701	1925
708	1701	1925
709	1700	1925
710	1699	1925
711	1698	1925
712	1698	1925
713	1696	1925
714	1696	1925
715	1696	1924
716	1696	1924
717	1696	1923
718	1696	1924
719	1697	1924
720	1698	1924
721	1699	1924
722	1699	1923
723	1699	1923
724	1698	1923
725	1699	1922
726	1699	1922
727	1699	1923
728	1698	1923
729	1698	1923
730	1698	1923
731	1698	1922
732	1700	1923
733	1699	1923
734	1700	1923
735	1699	1922
736	1700	1921
737	1700	1922
738	1700	1922
739	1700	1922
740	1699	1923
741	1700	1923
742	1699	1924
743	1699	1924
744	1699	1924
745	1699	1924
746	1699	1924
747	1699	1924
748	1699	1924
749	1699	1923
750	1699	1923
751	1698	1922
752	1698	1922
753	1699	1922
754	1699	1922
755	1699	1922
756	1699	1922
757	1698	1922
758	1699	1923
759	1699	1923
760	1699	1923
761	1699	1923
762	1699	1924
763	1699	1924
764	1699	1923
765	1698	1923
766	1699	1923
767	1699	1922
768	1699	1923
769	1698	1923
770	1698	1923
771	1699	1924
772	1699	1924
773	1699	1924
774	1699	1925
775	1700	1925
776	1701	1924
777	1701	1924
778	1701	1924
779	1701	1924
780	1701	1924
781	1702	1924
782	1701	1923
783	1700	1923
784	1699	1922
785	1699	1922
786	1699	1920
787	1700	1920
788	1700	1920
789	1700	1921
790	1701	1922
791	1701	1922
792	1702	1922
793	1701	1923
794	1701	1924
795	1701	1924
796	1702	1924
797	1701	1923
798	1701	1922
799	1701	1922
800	1701	1922
801	1701	1922
802	1701	1922
803	1701	1922
804	1701	1922
805	1701	1923
806	1701	1923
807	1701	1923
808	1701	1923
809	1702	1923
810	1702	1922
811	1701	1922
812	1701	1921
813	1701	1921
814	1700	1921
815	1700	1921
816	1700	1921
817	1699	1921
818	1699	1922
819	1699	1922
820	1699	1922
821	1699	1922
822	1700	1921
823	1699	1922
824	1698	1922
825	1699	1922
826	1699	1921
827	1699	1921
828	1699	1921
829	1698	1921
830	1698	1921
831	1698	1921
832	1700	1920
833	1699	1919
834	1699	1920
835	1699	1920
836	1699	1920
837	1699	1921
838	1698	1920
839	1699	1921
840	1698	1921
841	1698	1921
842	1698	1921
843	1698	1920
844	1697	1920
845	1697	1919
846	1697	1919
847	1697	1918
848	1697	1919
849	1697	1919
850	1698	1919
851	1698	1919
852	1699	1919
853	1699	1920
854	1700	1920
855	1700	1921
856	1701	1921
857	1699	1922
858	1699	1921
859	1699	1921
860	1699	1922
861	1699	1923
862	1699	1922
863	1699	1921
864	1698	1921
865	1699	1921
866	1698	1921
867	1697	1920
868	1696	1919
869	1697	1919
870	1696	1918
871	1696	1919
872	1697	1919
873	1696	1919
874	1697	1919
875	1696	1919
876	1697	1920
877	1697	1920
878	1696	1921
879	1696	1921
880	1696	1920
881	1696	1920
882	1697	1921
883	1697	1920
884	1697	1920
885	1697	1920
886	1697	1920
887	1697	1920
888	1697	1920
889	1698	1920
890	1697	1919
891	1697	1920
892	1698	1920
893	1698	1920
894	1698	1920
895	1698	1920
896	1698	1921
897	1698	1921
898	1699	1921
899	1698	1922
900	1698	1923
901	1698	1923
902	1697	1923
903	1698	1923
904	1698	1923
905	1698	1922
906	1698	1922
907	1697	1921
908	1696	1920
909	1696	1920
910	1696	1920
911	1696	1920
912	1696	1920
913	1695	1920
914	1695	1920
915	1696	1920
916	1697	1921
917	1697	1921
918	1697	1920
919	1697	1919
920	1696	1919
921	1696	1919
922	1696	1920
923	1696	1919
924	1695	1919
925	1696	1920
926	1697	1920
927	1697	1921
928	1698	1921
929	1698	1921
930	1698	1922
931	1698	1922
932	1698	1923
933	1698	1923
934	1698	1923
935	1697	1923
936	1697	1922
937	1698	1922
938	1697	1922
939	1698	1922
940	1697	1921
941	1697	1921
942	1697	1921
943	1696	1920
944	1697	1920
945	1696	1921
946	1696	1921
947	1696	1922
948	1696	1922
949	1695	1923
950	1695	1924
951	1696	1925
952	1695	1925
953	1696	1924
954	1696	1924
955	1696	1923
956	1696	1923
957	1697	1923
958	1697	1923
959	1698	1922
960	1698	1922
961	1698	1922
962	1698	1922
963	1698	1922
964	1698	1922
965	1698	1921
966	1699	1921
967	1698	1921
968	1698	1921
969	1698	1922
970	1698	1922
971	1698	1922
972	1698	1922
973	1698	1923
974	1698	1923
975	1698	1922
976	1698	1922
977	1698	1921
978	1698	1921
979	1698	1920
980	1698	1920
981	1698	1919
982	1698	1920
983	1698	1920
984	1698	1920
985	1698	1920
986	1698	1920
987	1698	1921
988	1698	1921
989	1698	1921
990	1697	1921
991	1697	1922
992	1697	1922
993	1697	1922
994	1697	1922
995	1697	1922
996	1697	1921
997	1697	1921
998	1697	1921
999	1697	1920
1000	1697	1919
1001	1696	1919
1002	1697	1919
1003	1696	1919
1004	1697	1920
1005	1697	1920
1006	1697	1920
1007	1696	1920
1008	1696	1921
1009	1697	1921
1010	1696	1921
1011	1697	1921
1012	1696	1921
1013	1696	1921
1014	1696	1921
1015	1697	1921
1016	1697	1921
1017	1697	1921
1018	1697	1920
1019	1697	1920
1020	1697	1919
1021	1698	1919
1022	1699	1918
1023	1698	1918
1024	1699	1917
1025	1699	1918
1026	1699	1918
1027	1698	1918
1028	1698	1919
1029	1697	1920
1030	1697	1920
1031	1696	1919
1032	1696	1920
1033	1696	1919
1034	1697	1919
1035	1697	1919
1036	1698	1919
1037	1698	1919
1038	1698	1920
1039	1699	1919
1040	1699	1920
1041	1699	1919
1042	1698	1919
1043	1697	1919
1044	1698	1920
1045	1698	1919
1046	1698	1919
1047	1698	1919
1048	1698	1919
1049	1698	1919
1050	1699	1920
1051	1699	1920
1052	1699	1920
1053	1699	1920
1054	1699	1921
1055	1698	1920
1056	1698	1920
1057	1698	1920
1058	1696	1921
1059	1696	1920
1060	1696	1920
1061	1696	1919
1062	1696	1919
1063	1696	1920
1064	1696	1919
1065	1696	1919
1066	1697	1919
1067	1697	1920
1068	1697	1921
1069	1697	1921
1070	1697	1921
1071	1698	1921
1072	1697	1921
1073	1697	1921
1074	1697	1920
1075	1698	1920
1076	1698	1919
1077	1697	1919
1078	1697	1919
1079	1697	1919
1080	1696	1919
1081	1697	1919
1082	1697	1919
1083	1696	1918
1084	1697	1919
1085	1698	1919
1086	1698	1919
1087	1698	1919
1088	1699	1919
1089	1698	1919
1090	1698	1919
1091	1697	1918
1092	1697	1918
1093	1697	1917
1094	1697	1918
1095	1697	1918
1096	1696	1918
1097	1697	1919
1098	1697	1918
1099	1697	1918
1100	1696	1918
1101	1696	1919
1102	1695	1919
1103	1695	1919
1104	1695	1919
1105	1695	1920
1106	1695	1920
1107	1695	1920
1108	1695	1920
