Liczba sygnalów: 2
Program tworzacy: JazzRecorder 2.5 - [Wykres ciagly]
Plik zródlowy: C:/Documents and Settings/admin/Desktop/fm/zofia_jogurt_kalib_1.jazz
Data tworzenia: 14/05/2019
Czas tworzenia: 08:56:02.414
Informacje o danych: 
Numer sygnalu 1	eye movement - horizontal	1000	1000	signed int	2	NoCalib
Numer sygnalu 2	eye movement - vertical	1000	1000	signed int	2	NoCalib
no	Eye_X	Eye_Y
1	-3143	-10700
2	-3143	-10700
3	-3144	-10701
4	-3144	-10701
5	-3142	-10702
6	-3143	-10703
7	-3143	-10704
8	-3143	-10704
9	-3144	-10705
10	-3143	-10705
11	-3144	-10705
12	-3143	-10706
13	-3144	-10707
14	-3144	-10708
15	-3145	-10708
16	-3144	-10708
17	-3144	-10709
18	-3144	-10708
19	-3144	-10709
20	-3144	-10710
21	-3144	-10710
22	-3143	-10711
23	-3142	-10713
24	-3143	-10715
25	-3142	-10716
26	-3143	-10718
27	-3143	-10718
28	-3143	-10719
29	-3142	-10719
30	-3143	-10719
31	-3144	-10718
32	-3144	-10719
33	-3145	-10719
34	-3144	-10720
35	-3145	-10722
36	-3145	-10723
37	-3145	-10724
38	-3145	-10725
39	-3146	-10727
40	-3146	-10727
41	-3145	-10727
42	-3146	-10728
43	-3146	-10729
44	-3146	-10729
45	-3147	-10729
46	-3147	-10730
47	-3147	-10731
48	-3148	-10731
49	-3149	-10733
50	-3150	-10733
51	-3151	-10733
52	-3151	-10734
53	-3152	-10734
54	-3152	-10735
55	-3152	-10736
56	-3153	-10737
57	-3153	-10738
58	-3153	-10738
59	-3153	-10739
60	-3153	-10740
61	-3155	-10740
62	-3155	-10741
63	-3157	-10740
64	-3157	-10740
65	-3159	-10739
66	-3160	-10740
67	-3162	-10740
68	-3163	-10741
69	-3165	-10741
70	-3166	-10742
71	-3167	-10743
72	-3169	-10743
73	-3170	-10743
74	-3170	-10742
75	-3171	-10742
76	-3171	-10742
77	-3171	-10742
78	-3171	-10742
79	-3172	-10741
80	-3173	-10741
81	-3173	-10741
82	-3174	-10740
83	-3174	-10740
84	-3175	-10741
85	-3175	-10741
86	-3176	-10742
87	-3176	-10742
88	-3176	-10742
89	-3177	-10743
90	-3177	-10744
91	-3177	-10745
92	-3178	-10745
93	-3179	-10744
94	-3179	-10745
95	-3178	-10745
96	-3178	-10745
97	-3179	-10745
98	-3179	-10744
99	-3178	-10743
100	-3178	-10743
101	-3178	-10744
102	-3179	-10744
103	-3180	-10744
104	-3179	-10745
105	-3179	-10744
106	-3180	-10745
107	-3180	-10746
108	-3180	-10747
109	-3180	-10747
110	-3179	-10746
111	-3180	-10747
112	-3180	-10747
113	-3180	-10748
114	-3180	-10748
115	-3180	-10748
116	-3180	-10748
117	-3180	-10748
118	-3179	-10748
119	-3178	-10748
120	-3177	-10748
121	-3176	-10748
122	-3176	-10748
123	-3176	-10747
124	-3176	-10746
125	-3176	-10747
126	-3175	-10747
127	-3175	-10747
128	-3175	-10747
129	-3176	-10747
130	-3176	-10748
131	-3176	-10749
132	-3175	-10748
133	-3175	-10748
134	-3175	-10748
135	-3174	-10748
136	-3174	-10747
137	-3173	-10746
138	-3172	-10745
139	-3172	-10745
140	-3172	-10746
141	-3171	-10746
142	-3171	-10746
143	-3170	-10745
144	-3170	-10746
145	-3170	-10746
146	-3170	-10746
147	-3170	-10746
148	-3169	-10747
149	-3169	-10747
150	-3168	-10746
151	-3167	-10746
152	-3166	-10747
153	-3166	-10747
154	-3165	-10749
155	-3164	-10749
156	-3163	-10749
157	-3163	-10749
158	-3162	-10750
159	-3162	-10750
160	-3163	-10750
161	-3162	-10750
162	-3162	-10749
163	-3162	-10748
164	-3162	-10749
165	-3161	-10749
166	-3162	-10749
167	-3161	-10750
168	-3160	-10750
169	-3159	-10750
170	-3159	-10750
171	-3159	-10750
172	-3159	-10750
173	-3159	-10750
174	-3159	-10750
175	-3159	-10750
176	-3160	-10750
177	-3159	-10750
178	-3159	-10749
179	-3159	-10750
180	-3158	-10749
181	-3158	-10749
182	-3158	-10748
183	-3158	-10747
184	-3158	-10748
185	-3158	-10748
186	-3158	-10747
187	-3158	-10747
188	-3157	-10747
189	-3157	-10747
190	-3156	-10747
191	-3156	-10748
192	-3156	-10747
193	-3156	-10747
194	-3156	-10747
195	-3157	-10748
196	-3156	-10748
197	-3156	-10747
198	-3155	-10747
199	-3155	-10746
200	-3155	-10746
201	-3154	-10747
202	-3153	-10747
203	-3153	-10747
204	-3152	-10747
205	-3152	-10747
206	-3153	-10747
207	-3152	-10747
208	-3152	-10747
209	-3151	-10747
210	-3150	-10747
211	-3150	-10747
212	-3150	-10746
213	-3150	-10747
214	-3149	-10747
215	-3149	-10747
216	-3149	-10748
217	-3149	-10748
218	-3149	-10747
219	-3150	-10746
220	-3149	-10746
221	-3150	-10746
222	-3150	-10746
223	-3150	-10746
224	-3151	-10745
225	-3151	-10744
226	-3152	-10745
227	-3153	-10745
228	-3153	-10745
229	-3153	-10745
230	-3154	-10745
231	-3153	-10745
232	-3153	-10745
233	-3154	-10744
234	-3153	-10744
235	-3153	-10745
236	-3152	-10744
237	-3152	-10744
238	-3152	-10744
239	-3151	-10744
240	-3151	-10744
241	-3151	-10744
242	-3150	-10744
243	-3150	-10744
244	-3151	-10744
245	-3150	-10745
246	-3150	-10745
247	-3150	-10744
248	-3150	-10744
249	-3150	-10744
250	-3151	-10744
251	-3150	-10744
252	-3150	-10744
253	-3151	-10745
254	-3151	-10745
255	-3150	-10745
256	-3150	-10746
257	-3150	-10747
258	-3149	-10747
259	-3150	-10748
260	-3150	-10749
261	-3149	-10748
262	-3148	-10747
263	-3148	-10747
264	-3149	-10747
265	-3148	-10746
266	-3148	-10745
267	-3148	-10744
268	-3148	-10744
269	-3148	-10744
270	-3149	-10744
271	-3148	-10745
272	-3148	-10745
273	-3148	-10744
274	-3148	-10744
275	-3148	-10744
276	-3148	-10743
277	-3149	-10743
278	-3149	-10743
279	-3151	-10743
280	-3151	-10742
281	-3152	-10742
282	-3151	-10741
283	-3152	-10740
284	-3152	-10740
285	-3152	-10739
286	-3151	-10737
287	-3150	-10735
288	-3150	-10734
289	-3150	-10733
290	-3151	-10732
291	-3152	-10732
292	-3152	-10731
293	-3152	-10730
294	-3153	-10730
295	-3154	-10729
296	-3153	-10729
297	-3153	-10728
298	-3153	-10728
299	-3153	-10728
300	-3153	-10728
301	-3153	-10727
302	-3153	-10727
303	-3153	-10728
304	-3154	-10727
305	-3153	-10728
306	-3153	-10727
307	-3153	-10728
308	-3152	-10728
309	-3152	-10728
310	-3151	-10728
311	-3150	-10727
312	-3150	-10727
313	-3150	-10726
314	-3149	-10725
315	-3149	-10725
316	-3149	-10725
317	-3149	-10724
318	-3148	-10723
319	-3148	-10723
320	-3147	-10722
321	-3147	-10722
322	-3147	-10723
323	-3147	-10723
324	-3145	-10723
325	-3145	-10723
326	-3145	-10725
327	-3145	-10724
328	-3145	-10725
329	-3144	-10726
330	-3144	-10726
331	-3144	-10725
332	-3144	-10725
333	-3144	-10725
334	-3144	-10725
335	-3144	-10725
336	-3144	-10725
337	-3144	-10724
338	-3144	-10724
339	-3144	-10724
340	-3144	-10724
341	-3144	-10724
342	-3143	-10723
343	-3144	-10722
344	-3144	-10722
345	-3145	-10722
346	-3144	-10722
347	-3144	-10722
348	-3144	-10722
349	-3144	-10721
350	-3144	-10722
351	-3144	-10722
352	-3144	-10721
353	-3144	-10721
354	-3143	-10721
355	-3143	-10720
356	-3144	-10721
357	-3143	-10721
358	-3143	-10721
359	-3143	-10721
360	-3144	-10721
361	-3143	-10721
362	-3143	-10721
363	-3143	-10722
364	-3143	-10722
365	-3142	-10722
366	-3141	-10722
367	-3141	-10722
368	-3140	-10723
369	-3140	-10724
370	-3139	-10724
371	-3138	-10725
372	-3138	-10726
373	-3138	-10726
374	-3138	-10728
375	-3137	-10728
376	-3138	-10729
377	-3138	-10729
378	-3138	-10729
379	-3138	-10730
380	-3138	-10730
381	-3138	-10730
382	-3138	-10730
383	-3138	-10731
384	-3138	-10731
385	-3138	-10731
386	-3138	-10732
387	-3138	-10733
388	-3139	-10733
389	-3139	-10734
390	-3140	-10734
391	-3140	-10734
392	-3141	-10733
393	-3142	-10733
394	-3142	-10732
395	-3143	-10731
396	-3142	-10731
397	-3142	-10730
398	-3142	-10730
399	-3143	-10730
400	-3143	-10730
401	-3144	-10729
402	-3144	-10729
403	-3143	-10729
404	-3144	-10728
405	-3144	-10727
406	-3144	-10727
407	-3144	-10728
408	-3143	-10728
409	-3143	-10729
410	-3143	-10729
411	-3143	-10729
412	-3142	-10729
413	-3143	-10729
414	-3142	-10728
415	-3142	-10728
416	-3142	-10729
417	-3140	-10729
418	-3140	-10729
419	-3139	-10729
420	-3138	-10730
421	-3137	-10730
422	-3136	-10731
423	-3136	-10732
424	-3134	-10732
425	-3135	-10732
426	-3134	-10732
427	-3133	-10732
428	-3133	-10732
429	-3133	-10734
430	-3132	-10734
431	-3132	-10734
432	-3131	-10734
433	-3131	-10734
434	-3130	-10735
435	-3130	-10735
436	-3129	-10735
437	-3128	-10734
438	-3129	-10734
439	-3128	-10734
440	-3127	-10735
441	-3127	-10735
442	-3127	-10736
443	-3127	-10736
444	-3127	-10737
445	-3127	-10738
446	-3126	-10739
447	-3126	-10740
448	-3126	-10739
449	-3125	-10739
450	-3125	-10738
451	-3125	-10738
452	-3126	-10739
453	-3126	-10739
454	-3126	-10739
455	-3126	-10740
456	-3126	-10740
457	-3127	-10741
458	-3126	-10743
459	-3126	-10742
460	-3126	-10743
461	-3127	-10743
462	-3127	-10744
463	-3126	-10744
464	-3126	-10744
465	-3127	-10744
466	-3127	-10744
467	-3127	-10746
468	-3127	-10745
469	-3126	-10746
470	-3127	-10746
471	-3127	-10746
472	-3127	-10745
473	-3126	-10746
474	-3126	-10746
475	-3126	-10745
476	-3126	-10746
477	-3126	-10745
478	-3126	-10746
479	-3126	-10746
480	-3126	-10747
481	-3127	-10748
482	-3127	-10749
483	-3127	-10749
484	-3127	-10748
485	-3127	-10749
486	-3126	-10749
487	-3126	-10749
488	-3126	-10749
489	-3125	-10748
490	-3125	-10749
491	-3124	-10750
492	-3124	-10751
493	-3124	-10750
494	-3124	-10751
495	-3124	-10751
496	-3123	-10751
497	-3124	-10752
498	-3124	-10751
499	-3124	-10752
500	-3124	-10752
501	-3123	-10753
502	-3123	-10754
503	-3123	-10755
504	-3123	-10757
505	-3122	-10756
506	-3122	-10758
507	-3121	-10758
508	-3122	-10759
509	-3121	-10760
510	-3121	-10761
511	-3120	-10761
512	-3120	-10760
513	-3120	-10761
514	-3121	-10762
515	-3120	-10761
516	-3119	-10762
517	-3120	-10762
518	-3120	-10762
519	-3120	-10763
520	-3119	-10763
521	-3119	-10764
522	-3118	-10764
523	-3117	-10764
524	-3117	-10765
525	-3117	-10766
526	-3117	-10766
527	-3116	-10767
528	-3117	-10768
529	-3115	-10769
530	-3115	-10770
531	-3116	-10771
532	-3115	-10772
533	-3114	-10773
534	-3114	-10773
535	-3113	-10773
536	-3113	-10773
537	-3113	-10772
538	-3112	-10773
539	-3111	-10773
540	-3111	-10773
541	-3110	-10773
542	-3109	-10774
543	-3109	-10775
544	-3109	-10775
545	-3109	-10776
546	-3109	-10777
547	-3108	-10778
548	-3108	-10778
549	-3109	-10779
550	-3108	-10779
551	-3108	-10779
552	-3106	-10780
553	-3105	-10780
554	-3105	-10779
555	-3105	-10779
556	-3104	-10779
557	-3103	-10780
558	-3104	-10781
559	-3103	-10781
560	-3103	-10781
561	-3103	-10781
562	-3102	-10780
563	-3102	-10780
564	-3101	-10779
565	-3101	-10779
566	-3100	-10779
567	-3100	-10779
568	-3099	-10780
569	-3099	-10781
570	-3100	-10782
571	-3100	-10782
572	-3100	-10783
573	-3099	-10783
574	-3100	-10783
575	-3100	-10783
576	-3100	-10782
577	-3100	-10781
578	-3099	-10780
579	-3098	-10780
580	-3099	-10780
581	-3099	-10780
582	-3099	-10780
583	-3099	-10780
584	-3099	-10781
585	-3099	-10780
586	-3099	-10781
587	-3099	-10780
588	-3099	-10780
589	-3099	-10780
590	-3099	-10779
591	-3098	-10779
592	-3098	-10779
593	-3098	-10780
594	-3098	-10780
595	-3098	-10780
596	-3099	-10780
597	-3098	-10780
598	-3098	-10781
599	-3099	-10781
600	-3100	-10780
601	-3101	-10778
602	-3101	-10777
603	-3101	-10776
604	-3101	-10776
605	-3100	-10776
606	-3100	-10775
607	-3100	-10775
608	-3101	-10774
609	-3100	-10775
610	-3100	-10775
611	-3100	-10775
612	-3100	-10775
613	-3101	-10774
614	-3101	-10775
615	-3102	-10775
616	-3102	-10774
617	-3103	-10774
618	-3104	-10773
619	-3105	-10772
620	-3106	-10772
621	-3105	-10771
622	-3106	-10770
623	-3106	-10769
624	-3106	-10769
625	-3105	-10769
626	-3105	-10769
627	-3105	-10769
628	-3105	-10767
629	-3106	-10767
630	-3106	-10767
631	-3106	-10767
632	-3106	-10767
633	-3106	-10767
634	-3107	-10766
635	-3107	-10765
636	-3107	-10766
637	-3108	-10767
638	-3108	-10767
639	-3109	-10767
640	-3109	-10767
641	-3109	-10768
642	-3109	-10768
643	-3110	-10768
644	-3111	-10768
645	-3111	-10767
646	-3111	-10767
647	-3110	-10767
648	-3110	-10767
649	-3111	-10766
650	-3111	-10765
651	-3111	-10764
652	-3111	-10763
653	-3110	-10763
654	-3111	-10763
655	-3112	-10762
656	-3113	-10761
657	-3114	-10761
658	-3115	-10761
659	-3115	-10762
660	-3116	-10761
661	-3117	-10759
662	-3118	-10759
663	-3119	-10759
664	-3119	-10758
665	-3118	-10757
666	-3120	-10756
667	-3121	-10755
668	-3122	-10755
669	-3123	-10754
670	-3123	-10754
671	-3123	-10753
672	-3123	-10752
673	-3124	-10751
674	-3124	-10750
675	-3123	-10750
676	-3123	-10750
677	-3124	-10750
678	-3125	-10748
679	-3125	-10747
680	-3127	-10747
681	-3127	-10747
682	-3128	-10746
683	-3128	-10745
684	-3128	-10745
685	-3128	-10744
686	-3128	-10744
687	-3128	-10745
688	-3128	-10745
689	-3128	-10744
690	-3129	-10745
691	-3130	-10745
692	-3130	-10744
693	-3131	-10744
694	-3131	-10743
695	-3132	-10742
696	-3132	-10742
697	-3133	-10742
698	-3133	-10742
699	-3132	-10741
700	-3132	-10741
701	-3132	-10739
702	-3133	-10739
703	-3132	-10738
704	-3132	-10737
705	-3131	-10737
706	-3131	-10737
707	-3131	-10737
708	-3131	-10737
709	-3130	-10738
710	-3131	-10738
711	-3130	-10738
712	-3131	-10737
713	-3131	-10737
714	-3131	-10737
715	-3131	-10737
716	-3131	-10737
717	-3131	-10736
718	-3131	-10736
719	-3131	-10736
720	-3131	-10736
721	-3131	-10737
722	-3131	-10736
723	-3131	-10736
724	-3132	-10735
725	-3132	-10736
726	-3132	-10736
727	-3132	-10736
728	-3132	-10737
729	-3133	-10737
730	-3134	-10738
731	-3135	-10738
732	-3135	-10738
733	-3135	-10739
734	-3135	-10739
735	-3134	-10740
736	-3134	-10738
737	-3134	-10739
738	-3133	-10739
739	-3133	-10740
740	-3132	-10740
741	-3132	-10739
742	-3133	-10740
