Liczba sygnalów: 2
Program tworzacy: JazzRecorder 2.5 - [Wykres ciagly]
Plik zródlowy: C:/Documents and Settings/admin/Desktop/fm/zofia_jogurt_kalib_2.jazz
Data tworzenia: 14/05/2019
Czas tworzenia: 09:01:55.930
Informacje o danych: 
Numer sygnalu 1	eye movement - horizontal	1000	1000	signed int	2	NoCalib
Numer sygnalu 2	eye movement - vertical	1000	1000	signed int	2	NoCalib
no	Eye_X	Eye_Y
372	1032	1893
373	1032	1893
374	1033	1892
375	1032	1892
376	1033	1892
377	1033	1891
378	1034	1891
379	1033	1892
380	1033	1891
381	1034	1891
382	1034	1891
383	1035	1891
384	1034	1892
385	1034	1892
386	1034	1891
387	1035	1891
388	1035	1890
389	1034	1891
390	1034	1891
391	1034	1891
392	1034	1891
393	1035	1891
394	1034	1892
395	1034	1891
396	1035	1892
397	1035	1893
398	1036	1891
399	1036	1892
400	1036	1891
401	1037	1891
402	1037	1891
403	1037	1891
404	1037	1891
405	1038	1891
406	1037	1892
407	1037	1892
408	1037	1892
409	1037	1892
410	1037	1892
411	1037	1892
412	1037	1892
413	1037	1893
414	1038	1893
415	1039	1893
416	1039	1894
417	1039	1894
418	1041	1895
419	1041	1894
420	1041	1894
421	1041	1894
422	1042	1893
423	1041	1892
424	1041	1892
425	1041	1893
426	1039	1892
427	1039	1892
428	1040	1891
429	1040	1892
430	1040	1892
431	1040	1892
432	1041	1892
433	1041	1892
434	1042	1892
435	1041	1892
436	1041	1892
437	1042	1892
438	1041	1893
439	1040	1893
440	1040	1892
441	1040	1892
442	1040	1891
443	1041	1892
444	1040	1892
445	1038	1892
446	1039	1891
447	1039	1891
448	1038	1893
449	1038	1891
450	1038	1892
451	1038	1890
452	1038	1890
453	1039	1890
454	1040	1891
455	1040	1891
456	1041	1891
457	1041	1892
458	1042	1892
459	1042	1893
460	1043	1894
461	1042	1893
462	1042	1893
463	1042	1893
464	1042	1893
465	1042	1893
466	1041	1892
467	1041	1891
468	1041	1892
469	1041	1892
470	1041	1892
471	1041	1893
472	1042	1892
473	1042	1893
474	1041	1893
475	1041	1893
476	1041	1892
477	1040	1892
478	1040	1892
479	1040	1892
480	1040	1893
481	1039	1893
482	1040	1893
483	1039	1894
484	1040	1894
485	1040	1894
486	1041	1893
487	1040	1892
488	1040	1893
489	1040	1892
490	1040	1892
491	1040	1892
492	1039	1891
493	1039	1891
494	1038	1892
495	1039	1893
496	1038	1892
497	1039	1891
498	1039	1892
499	1038	1891
500	1039	1891
501	1039	1892
502	1039	1892
503	1038	1891
504	1038	1891
505	1038	1891
506	1038	1891
507	1039	1892
508	1038	1892
509	1038	1893
510	1038	1892
511	1038	1893
512	1039	1893
513	1038	1894
514	1038	1894
515	1037	1893
516	1038	1894
517	1037	1892
518	1037	1893
519	1037	1893
520	1036	1894
521	1036	1893
522	1036	1893
523	1036	1893
524	1035	1893
525	1036	1893
526	1035	1893
527	1036	1893
528	1036	1892
529	1036	1892
530	1036	1893
531	1035	1892
532	1036	1891
533	1036	1892
534	1035	1892
535	1034	1892
536	1034	1891
537	1034	1892
538	1034	1890
539	1034	1890
540	1033	1891
541	1033	1891
542	1034	1890
543	1034	1889
544	1034	1890
545	1033	1890
546	1033	1891
547	1034	1891
548	1034	1890
549	1034	1889
550	1033	1889
551	1033	1889
552	1033	1888
553	1033	1887
554	1034	1887
555	1034	1887
556	1034	1887
557	1034	1888
558	1034	1888
559	1035	1889
560	1035	1888
561	1035	1889
562	1034	1889
