Liczba sygnalów: 3
Program tworzacy: JazzRecorder 2.5
Plik zródlowy: C:/Documents and Settings/admin/Desktop/kalib2_wojtek.jazz
Data tworzenia: 9/04/2019
Czas tworzenia: 09:16:29.817
Informacje o danych: 
Numer sygnalu 1	eye movement - horizontal	1000	1000	signed int	2	NoCalib
Numer sygnalu 2	eye movement - vertical	1000	1000	signed int	2	NoCalib
Numer sygnalu 3	microphone	1000	8000	unsigned int	16	NoCalib
no	Eye_X	Eye_Y	Mic
283	1003	2307	2016
284	1003	2307	1306
285	1003	2306	2445
286	1002	2307	1708
287	1003	2306	2374
288	1003	2306	1739
289	1003	2305	1949
290	1002	2306	1930
291	1001	2307	3185
292	1002	2306	2206
293	1002	2305	2128
294	1002	2305	1335
295	1002	2305	1700
296	1002	2305	2695
297	1002	2305	2913
298	1003	2306	1734
299	1002	2305	1741
300	1002	2306	2954
301	1003	2307	1790
302	1003	2308	2070
303	1003	2309	2477
304	1003	2308	1815
305	1003	2308	1842
306	1004	2308	2257
307	1004	2308	2551
308	1003	2308	920
309	1002	2307	2111
310	1002	2306	2672
311	1001	2307	1670
312	1001	2306	1898
313	1001	2307	1993
314	999	2306	2535
315	999	2305	2545
316	1001	2306	1157
317	1002	2305	1968
318	1002	2306	2182
319	1003	2305	2985
320	1003	2305	1210
321	1003	2305	2388
322	1004	2306	1853
323	1005	2306	2102
324	1004	2306	1989
325	1004	2307	1335
326	1004	2307	2637
327	1004	2307	1527
328	1004	2307	2396
329	1004	2307	1485
330	1004	2308	2225
331	1004	2308	2632
332	1003	2308	2144
333	1003	2308	2452
334	1004	2307	1598
335	1004	2307	3087
336	1004	2307	1995
337	1004	2308	2901
338	1004	2307	2269
339	1004	2307	861
340	1004	2307	2845
341	1004	2307	1717
342	1003	2307	2335
343	1003	2307	2351
344	1004	2307	1831
345	1003	2306	2584
346	1003	2307	1371
347	1003	2306	2544
348	1002	2307	1645
349	1002	2307	2486
350	1002	2306	2681
351	1002	2307	1265
352	1001	2308	2305
353	1001	2308	1598
354	1001	2308	2922
355	1001	2308	2280
356	1002	2307	2609
357	1002	2307	2884
358	1001	2307	1407
359	1002	2307	2441
360	1002	2307	1923
361	1003	2307	2122
362	1003	2307	2053
363	1003	2308	1963
364	1003	2308	1969
365	1003	2308	1712
366	1003	2308	2205
367	1002	2308	1627
368	1001	2308	1997
369	1001	2308	3282
370	1002	2308	1825
371	1001	2307	2309
372	1001	2307	1715
373	1001	2307	2681
374	1001	2307	1780
375	1001	2307	1962
376	1001	2305	2446
377	1000	2305	2423
378	1000	2305	1582
379	1001	2305	1584
380	1002	2305	2235
381	1001	2306	2186
382	1001	2306	2009
383	1001	2307	2231
384	1002	2308	2501
385	1001	2308	2693
386	1001	2308	2059
387	1000	2308	1791
388	1000	2309	2785
389	1000	2308	2912
390	1000	2308	1722
391	1000	2307	2439
392	999	2307	2335
393	999	2307	1553
394	999	2306	2640
395	999	2306	2506
396	999	2306	2132
397	999	2306	2353
398	999	2307	2466
399	998	2306	1631
400	999	2306	2568
401	999	2306	2791
402	999	2306	1564
403	1000	2306	1440
404	999	2306	2807
405	999	2306	2411
406	999	2305	2376
407	999	2305	1601
408	999	2306	1715
409	999	2305	2729
410	998	2307	2324
411	998	2307	1419
412	998	2306	2259
413	999	2306	2796
414	998	2306	1861
415	998	2306	1738
416	999	2307	2639
417	999	2306	1989
418	1000	2307	1780
419	999	2307	1992
420	1000	2307	3049
421	1000	2307	2243
422	1000	2308	2118
423	1000	2309	1930
424	1001	2309	2174
425	1001	2309	2608
426	1002	2308	1811
427	1002	2308	1192
428	1002	2308	2302
429	1002	2308	2584
430	1002	2307	2505
431	1002	2307	1633
432	1001	2307	2048
433	1001	2306	2922
434	1000	2307	1623
435	1000	2306	1823
436	1000	2307	2251
437	999	2307	2263
438	1000	2307	1665
439	1000	2307	1357
440	1001	2307	2826
441	1001	2307	2017
442	1002	2307	1704
443	1002	2307	1366
444	1002	2307	2283
445	1002	2307	2841
446	1002	2307	1843
447	1002	2308	1362
448	1000	2309	2021
449	1000	2310	2308
450	1000	2311	1678
451	1001	2311	1722
452	1001	2310	2394
453	1001	2310	2149
454	1002	2310	1827
455	1001	2310	1480
456	1002	2309	2184
457	1002	2310	2347
458	1001	2309	2206
459	1001	2308	1809
460	1001	2308	2557
461	1000	2308	2261
462	999	2307	2385
463	999	2308	1740
464	1000	2307	2169
465	1001	2306	1965
466	1001	2306	2255
467	1001	2307	2398
468	1002	2307	2013
469	1003	2307	1794
470	1003	2307	1719
471	1002	2307	2188
472	1003	2307	1781
473	1002	2308	2190
474	1002	2308	2079
475	1001	2308	1680
476	1002	2308	2076
477	1002	2309	2134
478	1001	2309	2506
479	1002	2310	1461
480	1001	2310	2495
481	1001	2310	3041
482	1001	2309	2188
483	1001	2308	1272
484	1000	2308	2065
485	1000	2307	2349
486	999	2306	2086
487	999	2306	1907
488	999	2304	1617
489	998	2304	2183
490	997	2304	2390
491	997	2304	1581
492	998	2304	2095
493	998	2304	2533
494	999	2304	2495
495	999	2304	1689
496	1000	2304	2294
497	1000	2305	2559
498	1001	2306	1991
499	1002	2305	1701
500	1002	2306	1777
501	1002	2306	1833
502	1002	2307	2733
503	1004	2307	2039
504	1005	2307	1689
505	1006	2307	2365
506	1008	2307	2246
507	1009	2307	2439
508	1011	2307	1764
509	1012	2307	2253
510	1013	2306	2272
511	1014	2304	2397
512	1015	2305	1714
513	1016	2305	1762
514	1018	2304	2747
515	1018	2304	2473
516	1017	2303	1735
517	1018	2303	2039
518	1018	2303	2196
519	1019	2304	2268
520	1018	2303	1825
521	1017	2304	1708
522	1016	2303	2493
523	1016	2304	2137
524	1016	2305	1628
525	1016	2305	2360
526	1015	2305	2446
527	1015	2305	2217
528	1016	2306	1768
529	1016	2305	1761
530	1016	2305	2816
531	1016	2305	1921
532	1016	2305	1910
533	1016	2305	2191
534	1016	2305	2729
535	1016	2304	2111
536	1016	2305	1949
537	1016	2305	1984
538	1016	2305	2025
539	1016	2305	2258
540	1016	2305	1653
541	1015	2305	2449
542	1015	2305	1899
543	1015	2305	2329
544	1015	2305	1873
545	1015	2305	1592
546	1015	2306	2548
547	1016	2307	2339
548	1016	2307	1955
549	1016	2307	1712
550	1016	2307	1904
551	1016	2308	2293
552	1016	2308	1934
553	1015	2307	1687
554	1015	2308	2129
555	1015	2308	2781
556	1015	2308	1625
557	1015	2309	1256
558	1016	2309	2631
559	1015	2308	1967
560	1015	2308	2221
561	1015	2308	1761
562	1016	2306	2852
563	1016	2305	2177
564	1016	2306	1779
565	1017	2305	2057
566	1016	2304	2411
567	1017	2305	2183
568	1017	2305	1973
569	1018	2305	1682
570	1017	2305	2181
571	1017	2305	2118
572	1018	2305	1712
573	1018	2305	2452
574	1018	2305	1694
575	1018	2306	2441
576	1017	2305	2324
577	1017	2305	1732
578	1016	2304	1772
579	1016	2305	2490
580	1015	2305	2134
581	1015	2306	1206
582	1015	2305	2676
583	1016	2305	2212
584	1016	2306	2295
585	1016	2306	1300
586	1016	2306	2591
587	1016	2306	1992
588	1016	2306	2213
589	1016	2305	1895
590	1015	2305	2229
591	1015	2305	2057
592	1015	2304	1972
593	1015	2305	1846
594	1016	2305	2024
595	1016	2305	2412
596	1016	2305	1566
597	1017	2305	1909
598	1017	2305	2699
599	1016	2305	2115
600	1017	2304	1961
601	1017	2304	2292
602	1017	2304	2443
603	1017	2304	1654
604	1018	2304	2398
605	1017	2305	2169
606	1018	2305	2390
607	1018	2305	1509
608	1017	2305	2294
609	1018	2306	1943
610	1017	2306	1907
611	1018	2306	1952
612	1018	2305	2138
613	1018	2305	1663
614	1018	2304	1471
615	1018	2304	1991
616	1018	2304	2519
617	1018	2304	1758
618	1018	2305	1738
619	1017	2305	2012
620	1017	2305	1972
